,Lat,Lon,h'
1037,-24.631378012301486,-32.90766759585967,2271.575379412232
1038,-24.59512806860678,-32.78284953846798,2271.985987052067
1039,-24.558775280760905,-32.65810385692258,2272.396065640245
1040,-24.52231988070533,-32.53343059234878,2272.8056132477686
1041,-24.485762100600414,-32.408829784332575,2273.214627947609
1042,-24.449102172821586,-32.284301470924724,2273.623107814725
1043,-24.412340329955555,-32.15984568864498,2274.031050926067
1044,-24.375476804796516,-32.03546247248621,2274.4384553605905
1045,-24.338511830342412,-31.911151855918654,2274.8453191992703
1046,-24.30144563979115,-31.786913870894086,2275.2516405251044
1047,-24.264278466536883,-31.662748547850114,2275.657417423128
1048,-24.227010544166333,-31.538655915714582,2276.062647980436
1049,-24.18964210645507,-31.414636001909805,2276.4673302861665
1050,-24.15217338736383,-31.29068883235701,2276.8714624315526
1051,-24.114604621034907,-31.16681443148064,2277.27504250988
1052,-24.07693604178845,-31.04301282221293,2277.6780686165584
1053,-24.039167884118896,-30.91928402599826,2278.080538849079
1054,-24.00130038269137,-30.7956280627977,2278.4824513070635
1055,-23.96333377233807,-30.672044951093547,2278.883804092251
1056,-23.92526828805472,-30.54853470789374,2279.2845953085234
1057,-23.887104164997066,-30.42509734873665,2279.684823061909
1058,-23.84884163847728,-30.301732887695543,2280.0844854605984
1059,-23.810480943960517,-30.17844133738324,2280.4835806149513
1060,-23.772022317061403,-30.0552227089568,2280.8821066375094
1061,-23.733465993540552,-29.932077012122132,2281.280061643003
1062,-23.694812209301155,-29.8090042551388,2281.6774437483764
1063,-23.65606120038552,-29.686004444824732,2282.0742510727814
1064,-23.61721320297168,-29.563077586560926,2282.470481737593
1065,-23.57826845336999,-29.44022368429629,2282.866133866437
1066,-23.53922718801976,-29.317442740552384,2283.2612055851678
1067,-23.5000896434859,-29.194734756428318,2283.655695021911
1068,-23.460856056455594,-29.072099731605586,2284.049600307062
1069,-23.421526663734998,-28.949537664352935,2284.44291957329
1070,-23.382101702245897,-28.82704855153117,2284.835650955565
1071,-23.34258140902249,-28.704632388598228,2285.227792591153
1072,-23.302966021208096,-28.582289169614015,2285.619342619635
1073,-23.263255776051942,-28.46001888724539,2286.010299182919
1074,-23.223450910905925,-28.337821532771144,2286.40066042525
1075,-23.183551663221433,-28.21569709608691,2286.790424493209
1076,-23.143558270546137,-28.09364556571033,2287.179589535752
1077,-23.103470970520895,-27.971666928785968,2287.568153704189
1078,-23.063290000876552,-27.849761171090414,2287.9561151522175
1079,-23.023015599430867,-27.727928277037364,2288.3434720359182
1080,-22.98264800408536,-27.60616822968258,2288.730222513783
1081,-22.94218745282229,-27.484481010729166,2289.116364746709
1082,-22.901634183701574,-27.362866600532566,2289.5018968980185
1083,-22.860988434857763,-27.241324978105794,2289.8868171334652
1084,-22.82025044449696,-27.119856121124396,2290.2711236212526
1085,-22.779420450893923,-26.998460005931843,2290.6548145320394
1086,-22.73849869238899,-26.877136607544546,2291.0378880389453
1087,-22.69748540738519,-26.75588589965712,2291.420342317577
1088,-22.65638083434526,-26.634707854647573,2291.8021755460195
1089,-22.61518521178872,-26.51360244358244,2292.1833859048675
1090,-22.57389877828902,-26.392569636222163,2292.5639715772177
1091,-22.53252177247062,-26.271609401026208,2292.9439307486937
1092,-22.491054433006138,-26.1507217051584,2293.3232616074474
1093,-22.449496998613526,-26.029906514492144,2293.7019623441756
1094,-22.40784970805319,-25.90916379361563,2294.080031152129
1095,-22.3661128001253,-25.78849350583727,2294.4574662271225
1096,-22.324286513666888,-25.667895613190897,2294.8342657675457
1097,-22.28237108754918,-25.547370076441073,2295.2104279743744
1098,-22.240366760674803,-25.42691685508845,2295.5859510511837
1099,-22.198273771975064,-25.306535907374982,2295.9608332041535
1100,-22.156092360407296,-25.18622719028943,2296.335072642085
1101,-22.113822764952115,-25.065990659572535,2296.7086675764076
1102,-22.071465224610815,-24.945826269722506,2297.0816162211904
1103,-22.029019978402673,-24.825733974000215,2297.4539167931543
1104,-21.986487265362364,-24.705713724434723,2297.8255675116834
1105,-21.94386732453735,-24.58576547182854,2298.19656659883
1106,-21.9011603949853,-24.46588916576304,2298.5669122793406
1107,-21.85836671577154,-24.34608475460388,2298.9366027806373
1108,-21.81548652596644,-24.226352185506226,2299.305636332865
1109,-21.772520064643004,-24.106691404420356,2299.6740111688723
1110,-21.7294675708743,-23.987102356096955,2300.0417255242446
1111,-21.686329283730963,-23.867584984092467,2300.408777637289
1112,-21.643105442278788,-23.7481392307746,2300.775165749077
1113,-21.59979628557622,-23.628765037327636,2301.1408881034295
