,f,delta_V_r,delta_V_theta,delta_V,v+,v-,w+
456,2.8680005005744658,-2.732830981253663,0.12389853377571569,2.735638137395301,[-1.63556499  1.9978194 ],[1.09726599 1.87392086],586.8138386421155
457,2.8742899753564273,-2.6928842021679165,0.12344735968265774,2.6957122578083434,[-1.62023172  1.99054438],[1.07265248 1.86709702],587.4302513950539
458,2.880579450138389,-2.6530697659967277,0.12300642979886756,2.6559197587686634,[-1.60507322  1.98343454],[1.04799654 1.86042811],588.0432160531493
459,2.8868689249203503,-2.6133964722512664,0.12257576156636496,2.6162694697792386,[-1.59009733  1.97649017],[1.02329915 1.85391441],588.6526288510048
460,2.893158399702312,-2.573873296408502,0.12215537202125004,2.5767703973925227,[-1.57531202  1.96971154],[0.99856127 1.84755617],589.2583832730048
461,2.8994478744842733,-2.5345093882077045,0.1217452777930279,2.5374317235302892,[-1.56072549  1.96309892],[0.9737839  1.84135364],589.8603700707628
462,2.905737349266235,-2.495314069119099,0.12134549510394055,2.498262802974446,[-1.54634607  1.95665257],[0.948968   1.83530707],590.458477292724
463,2.9120268240481963,-2.456296828903614,0.12095603976834002,2.4592731599475464,[-1.53218226  1.95037274],[0.92411457 1.8294167 ],591.0525903271412
464,2.918316298830158,-2.417467321179807,0.12057692719204849,2.4204724836988643,[-1.51824275  1.94425968],[0.89922458 1.82368276],591.6425919596817
465,2.9246057736121194,-2.3788353579122226,0.12020817237176251,2.38187062301006,[-1.50453634  1.93831364],[0.87429901 1.81810547],592.2283624469536
466,2.930895248394081,-2.3404109027340017,0.1198497898944515,2.343477579533017,[-1.49107203  1.93253486],[0.84933887 1.81268507],592.8097796072656
467,2.9371847231760424,-2.3022040630164806,0.11950179393677751,2.3053034998723487,[-1.47785894  1.92692355],[0.82434513 1.80742175],593.3867189299323
468,2.9434741979580044,-2.2642250805994424,0.1191641982645435,2.2673586663259924,[-1.46490631  1.92147994],[0.79931877 1.80231574],593.95905370443
469,2.949763672739966,-2.2264843210978915,0.11883701623214593,2.229653486199526,[-1.45222352  1.91620424],[0.7742608  1.79736723],594.5266551706723
470,2.9560531475219274,-2.188992261705156,0.11852026078204192,2.1921984796137637,[-1.43982006  1.91109668],[0.7491722  1.79257642],595.0893926916218
471,2.962342622303889,-2.151759477417774,0.11821394444424249,2.1550042657308777,[-1.42770551  1.90615743],[0.72405397 1.78794349],595.6471339493704
472,2.9686320970858504,-2.1147966256150488,0.11791807933581189,2.118081547331699,[-1.41588953  1.90138672],[0.69890709 1.78346864],596.1997451657078
473,2.974921571867812,-2.0781144289359874,0.11763267716039505,2.0814410936867436,[-1.40438186  1.89678471],[0.67373257 1.77915203],596.7470913480613
474,2.9812110466497734,-2.041723656408199,0.11735774920775088,2.04509372167536,[-1.39319226  1.89235159],[0.64853139 1.77499384],597.2890365615058
475,2.987500521431735,-2.005635102797753,0.11709330635330106,2.0090502751218797,[-1.38233054  1.88808755],[0.62330457 1.77099424],597.8254442273335
476,2.9937899962136965,-1.9698595661658942,0.11683935905770904,1.9733216023345765,[-1.37180649  1.88399274],[0.59805308 1.76715338],598.3561774484219
477,3.000079470995658,-1.9344078236379003,0.11659591736646124,1.9379185318526795,[-1.36162988  1.88006733],[0.57277794 1.76347141],598.8810993613498
478,3.0063689457776195,-1.89929060541128,0.11636299090946567,1.9028518464286552,[-1.35181047  1.87631147],[0.54748014 1.75994848],599.4000735148835
479,3.012658420559581,-1.8645185670549416,0.11614058890068191,1.8681322552974695,[-1.34235788  1.87272532],[0.52216068 1.75658473],599.912964274094
480,3.018947895341543,-1.8301022601773962,0.1159287201377448,1.8337703648110333,[-1.33328169  1.86930901],[0.49682057 1.75338029],600.4196372489698
481,3.0252373701235045,-1.7960521015707138,0.11572739300162405,1.799776647544781,[-1.3245913   1.86606269],[0.47146081 1.75033529],600.9199597459631
482,3.031526844905466,-1.7623783409668903,0.11553661545629179,1.7661614100133385,[-1.31629595  1.86298647],[0.44608239 1.74744985],601.4138012404583
483,3.0378163196874275,-1.729091027574586,0.11535639504840423,1.7329347591636282,[-1.3084047   1.86008048],[0.42068633 1.74472408],601.9010338676884
484,3.044105794469389,-1.6961999755957544,0.11518673890700382,1.7001065678454006,[-1.30092635  1.85734483],[0.39527363 1.74215809],602.3815329291468
485,3.0503952692513505,-1.6637147289532246,0.11502765374324153,1.6676864394908224,[-1.29386944  1.85477964],[0.36984529 1.73975199],602.8551774110744
486,3.056684744033312,-1.631644525490729,0.11487914585010506,1.6356836722652446,[-1.2872422  1.852385 ],[0.34440232 1.73750586],603.321850511144
487,3.0629742188152735,-1.599998260935673,0.114741221102177,1.6041072229801838,[-1.28105253  1.85016102],[0.31894573 1.7354198 ],603.7814401690352
488,3.069263693597235,-1.568784452940798,0.11461388495539526,1.5729656710854587,[-1.27530793  1.84810777],[0.29347653 1.73349388],604.2338395962
489,3.0755531683791966,-1.5380112055433572,0.11449714244684239,1.5422671830799692,[-1.2700155   1.84622534],[0.26799571 1.73172819],604.6789477997855
490,3.081842643161158,-1.5076861743981906,0.11439099819454568,1.5120194776984177,[-1.26518188  1.8445138 ],[0.24250429 1.7301228 ],605.116670095414
491,3.0881321179431196,-1.4778165331534499,0.11429545639728822,1.4822297922436811,[-1.26081325  1.84297322],[0.21700328 1.72867776],605.5469186033306
492,3.094421592725081,-1.4484089413441315,0.11421052083445526,1.4529048504409727,[-1.25691526  1.84160367],[0.19149368 1.72739314],605.9696127223295
493,3.100711067507043,-1.4194695141777796,0.11413619486587256,1.424050832189133,[-1.253493    1.84040519],[0.16597651 1.72626899],606.3846795758869
494,3.1070005422890046,-1.3910037945790732,0.11407248143167714,1.3956733455767365,[-1.25055102  1.83937783],[0.14045278 1.72530535],606.7920544250322
495,3.113290017070966,-1.3630167278444025,0.11401938305220827,1.3677774015150521,[-1.24809324  1.83852164],[0.11492349 1.72450225],607.1916810427252
496,3.1195794918529276,-1.3355126392345416,0.11397690182789444,1.3403673913168346,[-1.24612299  1.83783664],[0.08938965 1.72385974],607.583512044848
497,3.125868966634889,-1.308495214803059,0.11394503943918233,1.3134470675193959,[-1.24464294  1.83732287],[0.06385227 1.72337783],607.9675091733728
498,3.1321584414168506,-1.2819674857204852,0.11392379714646372,1.2870195282126728,[-1.24365511  1.83698035],[0.03831238 1.72305655],608.3436435278268
499,3.138447916198812,-1.2559318163106887,0.11391317579002824,1.261087205089337,[-1.24316086  1.83680908],[0.01277096 1.72289591],608.7118957418261
500,3.1447373909807737,-1.2303898959665833,0.11391317579002824,1.2356518553845293,[-1.24316086  1.83680908],[-0.01277096  1.72289591],609.0722561021864
501,3.151026865762735,-1.2053427350591746,0.11392379714646372,1.2107145578195548,[-1.24365511  1.83698035],[-0.03831238  1.72305655],609.4247246089078
502,3.1573163405446967,-1.1807906648975917,0.11394503943918233,1.1862757126073573,[-1.24464294  1.83732287],[-0.06385227  1.72337783],609.7693109751747
503,3.163605815326658,-1.1567333417401078,0.11397690182789444,1.162335045519803,[-1.24612299  1.83783664],[-0.08938965  1.72385974],610.1060345673706
504,3.1698952901086197,-1.1331697547985002,0.11401938305220716,1.1388916159589986,[-1.24809324  1.83852164],[-0.11492349  1.72450225],610.4349242859685
