,f,delta_V_r,delta_V_theta,delta_V,v+,v-,w+
609,3.8302901422145825,5.347485204239295,0.17511133759756836,5.3503515763091105,[2.76654844 2.82360748],[-2.58093676  2.64849615],354.2191085159981
610,3.836579616996544,5.3833885837426685,0.1761886950317164,5.386270982769793,[2.7827827  2.84097948],[-2.60060588  2.66479079],354.9381928811703
611,3.8428690917785056,5.4191077426338214,0.17727421036700042,5.422006535585795,[2.79893562 2.85848303],[-2.62017213  2.68120882],355.6578963416032
612,3.849158566560467,5.45464022649504,0.17836784066329958,5.457555779566595,[2.8150055  2.87611743],[-2.63963472  2.69774959],356.3782081606701
613,3.8554480413424286,5.48998361037153,0.17946954265948234,5.492916289084553,[2.8309907  2.89388198],[-2.65899291  2.71441243],357.0991179466551
614,3.86173751612439,5.525135498103065,0.1805792727751232,5.528085667403735,[2.84688959 2.91177598],[-2.67824591  2.7311967 ],357.8206156418939
615,3.8680269909063516,5.560093521681379,0.18169698711222582,5.563061546034603,[2.86270056 2.92979872],[-2.69739296  2.74810173],358.542691512326
616,3.874316465688313,5.59485534063233,0.18282264145695848,5.597841584113596,[2.87842203 2.94794949],[-2.71643331  2.76512685],359.2653361374398
617,3.8806059404702746,5.62941864142182,0.18395619128140606,5.632423467806576,[2.89405243 2.96622757],[-2.73536621  2.78227138],359.9885404005975
618,3.886895415252236,5.663781136884513,0.18509759174532459,5.6668049097351805,[2.90959023 2.98463225],[-2.75419091  2.79953466],360.7122954797241
619,3.8931848900341977,5.697940565674477,0.18624679769792163,5.7009836484252,[2.92503391 3.00316278],[-2.77290665  2.81691598],361.43659283834654
620,3.899474364816159,5.731894691736812,0.1874037636796433,5.734957447776046,[2.94038198 3.02181844],[-2.79151271  2.83441468],362.1614242169701
621,3.905763839598121,5.765641303799462,0.18856844392396477,5.768724096550489,[2.95563296 3.04059849],[-2.81000834  2.85203005],362.8867816247796
622,3.9120533143800826,5.799178214884362,0.18974079235920804,5.80228140788384,[2.9707854  3.05950219],[-2.82839282  2.8697614 ],363.6126573316508
623,3.918342789162044,5.832503261837189,0.19092076261035995,5.835627218811802,[2.98583785 3.07852879],[-2.84666541  2.88760803],364.3390438604635
624,3.9246322639440057,5.865614304874896,0.19210830800091117,5.868759389816214,[3.00078891 3.09767753],[-2.86482539  2.90556922],365.0659339797016
625,3.930921738725967,5.898509227150345,0.19330338155469562,5.901675804387957,[3.01563717 3.11694766],[-2.88287206  2.92364428],365.79332069633125
626,3.9372112135079287,5.93118593433336,0.19450593599775745,5.93437436860637,[3.03038126 3.13633842],[-2.90080468  2.94183249],366.52119724894646
627,3.94350068828989,5.963642354207484,0.1957159237602144,5.966853010734444,[3.0450198  3.15584904],[-2.91862255  2.96013312],367.2495571011708
628,3.9497901630718517,5.995876436281829,0.19693329697813988,5.999109680829179,[3.05955147 3.17547875],[-2.93632497  2.97854545],367.9783939353063
629,3.9560796378538132,6.027886151417406,0.1981580074954601,6.031142350366498,[3.07397491 3.19522676],[-2.95391124  2.99706876],368.7077016462214
