,SubsonicOnly,Subsonic/Supersonic,Supersonic/Subsonic,SupersonicOnly
941,0.9726982742619883,7.685360246428253e-05,0.9726982742619883,7.685360246428253e-05
942,0.9727149512314575,7.669205223671473e-05,0.9727149512314575,7.669205223671473e-05
943,0.9727313279430005,7.653364367040367e-05,0.9727313279430005,7.653364367040367e-05
944,0.9727474049406376,7.63783586239316e-05,0.9727474049406376,7.63783586239316e-05
945,0.9727631827582326,7.622617933690345e-05,0.9727631827582326,7.622617933690345e-05
946,0.972778661919522,7.607708842657514e-05,0.972778661919522,7.607708842657514e-05
947,0.9727938429381412,7.593106888455614e-05,0.9727938429381412,7.593106888455614e-05
948,0.972808726317654,7.578810407358828e-05,0.972808726317654,7.578810407358828e-05
949,0.9728233125515799,7.56481777243974e-05,0.9728233125515799,7.56481777243974e-05
950,0.9728376021234179,7.551127393261928e-05,0.9728376021234179,7.551127393261928e-05
951,0.9728515955066758,7.537737715579716e-05,0.9728515955066758,7.537737715579716e-05
952,0.9728652931648917,7.524647221045027e-05,0.9728652931648917,7.524647221045027e-05
953,0.9728786955516635,7.511854426921491e-05,0.9728786955516635,7.511854426921491e-05
954,0.9728918031106683,7.499357885805423e-05,0.9728918031106683,7.499357885805423e-05
955,0.9729046162756912,7.487156185353747e-05,0.9729046162756912,7.487156185353747e-05
